Name,Term Type,Party,Start Date,End Date,State,District,Office Address,Phone
Robert B. Aderholt,rep,Republican,2023-01-03,2025-01-03,AL,4,266 Cannon House Office Building Washington DC 20515-0104,202-225-4876
Gus M. Bilirakis,rep,Republican,2023-01-03,2025-01-03,FL,12,2306 Rayburn House Office Building Washington DC 20515-0912,202-225-5755
"Sanford D. Bishop, Jr.",rep,Democrat,2023-01-03,2025-01-03,GA,2,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631
Earl Blumenauer,rep,Democrat,2023-01-03,2025-01-03,OR,3,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811
Vern Buchanan,rep,Republican,2023-01-03,2025-01-03,FL,16,2110 Rayburn House Office Building Washington DC 20515-0916,202-225-5015
Larry Bucshon,rep,Republican,2023-01-03,2025-01-03,IN,8,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636
Michael C. Burgess,rep,Republican,2023-01-03,2025-01-03,TX,26,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772
Ken Calvert,rep,Republican,2023-01-03,2025-01-03,CA,41,2205 Rayburn House Office Building Washington DC 20515-0541,202-225-1986
André Carson,rep,Democrat,2023-01-03,2025-01-03,IN,7,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011
John R. Carter,rep,Republican,2023-01-03,2025-01-03,TX,31,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864
Kathy Castor,rep,Democrat,2023-01-03,2025-01-03,FL,14,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376
Judy Chu,rep,Democrat,2023-01-03,2025-01-03,CA,28,2423 Rayburn House Office Building Washington DC 20515-0528,202-225-5464
Yvette D. Clarke,rep,Democrat,2023-01-03,2025-01-03,NY,9,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231
Emanuel Cleaver,rep,Democrat,2023-01-03,2025-01-03,MO,5,2217 Rayburn House Office Building Washington DC 20515-2505,202-225-4535
James E. Clyburn,rep,Democrat,2023-01-03,2025-01-03,SC,6,274 Cannon House Office Building Washington DC 20515-4006,202-225-3315
Steve Cohen,rep,Democrat,2023-01-03,2025-01-03,TN,9,2268 Rayburn House Office Building Washington DC 20515-4209,202-225-3265
Tom Cole,rep,Republican,2023-01-03,2025-01-03,OK,4,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165
Gerald E. Connolly,rep,Democrat,2023-01-03,2025-01-03,VA,11,2265 Rayburn House Office Building Washington DC 20515-4611,202-225-1492
Jim Costa,rep,Democrat,2023-01-03,2025-01-03,CA,21,2081 Rayburn House Office Building Washington DC 20515-0521,202-225-3341
Joe Courtney,rep,Democrat,2023-01-03,2025-01-03,CT,2,2449 Rayburn House Office Building Washington DC 20515-0702,202-225-2076
"Eric A. ""Rick"" Crawford",rep,Republican,2023-01-03,2025-01-03,AR,1,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076
Henry Cuellar,rep,Democrat,2023-01-03,2025-01-03,TX,28,2372 Rayburn House Office Building Washington DC 20515-4328,202-225-1640
Danny K. Davis,rep,Democrat,2023-01-03,2025-01-03,IL,7,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006
Diana DeGette,rep,Democrat,2023-01-03,2025-01-03,CO,1,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431
Rosa L. DeLauro,rep,Democrat,2023-01-03,2025-01-03,CT,3,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661
Scott DesJarlais,rep,Republican,2023-01-03,2025-01-03,TN,4,2304 Rayburn House Office Building Washington DC 20515-4204,202-225-6831
Mario Diaz-Balart,rep,Republican,2023-01-03,2025-01-03,FL,26,374 Cannon House Office Building Washington DC 20515-0926,202-225-4211
Lloyd Doggett,rep,Democrat,2023-01-03,2025-01-03,TX,37,2307 Rayburn House Office Building Washington DC 20515-0001,202-225-4865
Jeff Duncan,rep,Republican,2023-01-03,2025-01-03,SC,3,2229 Rayburn House Office Building Washington DC 20515-4003,202-225-5301
