Unnamed: 0,name,state,party,Last Name
0,Sherrod Brown,OH,Democrat,Brown
1,Maria Cantwell,WA,Democrat,Cantwell
2,Benjamin L. Cardin,MD,Democrat,Cardin
3,Thomas R. Carper,DE,Democrat,Carper
4,"Robert P. Casey, Jr.",PA,Democrat,Jr.
5,Amy Klobuchar,MN,Democrat,Klobuchar
6,Bernard Sanders,VT,Independent,Sanders
7,Debbie Stabenow,MI,Democrat,Stabenow
8,Jon Tester,MT,Democrat,Tester
9,Sheldon Whitehouse,RI,Democrat,Whitehouse
10,John Barrasso,WY,Republican,Barrasso
11,Roger F. Wicker,MS,Republican,Wicker
12,Susan M. Collins,ME,Republican,Collins
13,John Cornyn,TX,Republican,Cornyn
14,Richard J. Durbin,IL,Democrat,Durbin
15,Lindsey Graham,SC,Republican,Graham
16,Mitch McConnell,KY,Republican,McConnell
17,Jeff Merkley,OR,Democrat,Merkley
18,Jack Reed,RI,Democrat,Reed
19,James E. Risch,ID,Republican,Risch
20,Jeanne Shaheen,NH,Democrat,Shaheen
21,Mark R. Warner,VA,Democrat,Warner
22,Kirsten E. Gillibrand,NY,Democrat,Gillibrand
23,Christopher A. Coons,DE,Democrat,Coons
24,"Joe Manchin, III",WV,Democrat,III
25,Tammy Baldwin,WI,Democrat,Baldwin
26,Michael F. Bennet,CO,Democrat,Bennet
27,Marsha Blackburn,TN,Republican,Blackburn
28,Richard Blumenthal,CT,Democrat,Blumenthal
29,John Boozman,AR,Republican,Boozman
30,Shelley Moore Capito,WV,Republican,Capito
31,Bill Cassidy,LA,Republican,Cassidy
32,Mike Crapo,ID,Republican,Crapo
33,Chuck Grassley,IA,Republican,Grassley
34,Martin Heinrich,NM,Democrat,Heinrich
35,Mazie K. Hirono,HI,Democrat,Hirono
36,John Hoeven,ND,Republican,Hoeven
37,Ron Johnson,WI,Republican,Johnson
38,James Lankford,OK,Republican,Lankford
39,Mike Lee,UT,Republican,Lee
40,Ben Ray Luján,NM,Democrat,Luján
41,Edward J. Markey,MA,Democrat,Markey
42,Jerry Moran,KS,Republican,Moran
43,Lisa Murkowski,AK,Republican,Murkowski
44,Christopher Murphy,CT,Democrat,Murphy
45,Patty Murray,WA,Democrat,Murray
46,Rand Paul,KY,Republican,Paul
47,Gary C. Peters,MI,Democrat,Peters
48,Marco Rubio,FL,Republican,Rubio
49,Charles E. Schumer,NY,Democrat,Schumer
50,Tim Scott,SC,Republican,Scott
51,John Thune,SD,Republican,Thune
52,Chris Van Hollen,MD,Democrat,Hollen
53,Peter Welch,VT,Democrat,Welch
54,Ron Wyden,OR,Democrat,Wyden
55,Todd Young,IN,Republican,Young
56,Brian Schatz,HI,Democrat,Schatz
57,Tom Cotton,AR,Republican,Cotton
58,Kyrsten Sinema,AZ,Independent,Sinema
59,Tammy Duckworth,IL,Democrat,Duckworth
60,Elizabeth Warren,MA,Democrat,Warren
61,"Angus S. King, Jr.",ME,Independent,Jr.
62,Steve Daines,MT,Republican,Daines
63,Kevin Cramer,ND,Republican,Cramer
64,Deb Fischer,NE,Republican,Fischer
65,Markwayne Mullin,OK,Republican,Mullin
66,Ted Cruz,TX,Republican,Cruz
67,Tim Kaine,VA,Democrat,Kaine
68,Cory A. Booker,NJ,Democrat,Booker
69,Dan Sullivan,AK,Republican,Sullivan
70,Joni Ernst,IA,Republican,Ernst
71,Thom Tillis,NC,Republican,Tillis
72,Mike Rounds,SD,Republican,Rounds
73,John Kennedy,LA,Republican,Kennedy
74,Margaret Wood Hassan,NH,Democrat,Hassan
75,Catherine Cortez Masto,NV,Democrat,Masto
76,Roger Marshall,KS,Republican,Marshall
77,Ted Budd,NC,Republican,Budd
78,Jacky Rosen,NV,Democrat,Rosen
79,Tina Smith,MN,Democrat,Smith
80,Cindy Hyde-Smith,MS,Republican,Hyde-Smith
81,Rick Scott,FL,Republican,Scott
82,Mike Braun,IN,Republican,Braun
83,Josh Hawley,MO,Republican,Hawley
84,Mitt Romney,UT,Republican,Romney
85,Mark Kelly,AZ,Democrat,Kelly
86,Cynthia M. Lummis,WY,Republican,Lummis
87,Tommy Tuberville,AL,Republican,Tuberville
88,John W. Hickenlooper,CO,Democrat,Hickenlooper
89,Bill Hagerty,TN,Republican,Hagerty
90,Alex Padilla,CA,Democrat,Padilla
91,Jon Ossoff,GA,Democrat,Ossoff
92,Raphael G. Warnock,GA,Democrat,Warnock
93,Katie Boyd Britt,AL,Republican,Britt
94,Eric Schmitt,MO,Republican,Schmitt
95,J.D. Vance,OH,Republican,Vance
96,John Fetterman,PA,Democrat,Fetterman
97,Pete Ricketts,NE,Republican,Ricketts
98,Laphonza R. Butler,CA,Democrat,Butler
99,George S. Helmy,NJ,Democrat,Helmy
