Name,Term Type,Party,Start Date,End Date,State,District,Office Address,Phone,Last Name
Robert B. Aderholt,rep,Republican,2023-01-03,2025-01-03,AL,4,266 Cannon House Office Building Washington DC 20515-0104,202-225-4876,Aderholt
Gus M. Bilirakis,rep,Republican,2023-01-03,2025-01-03,FL,12,2306 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,Bilirakis
"Sanford D. Bishop, Jr.",rep,Democrat,2023-01-03,2025-01-03,GA,2,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,Jr.
Earl Blumenauer,rep,Democrat,2023-01-03,2025-01-03,OR,3,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811,Blumenauer
Vern Buchanan,rep,Republican,2023-01-03,2025-01-03,FL,16,2110 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,Buchanan
Larry Bucshon,rep,Republican,2023-01-03,2025-01-03,IN,8,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636,Bucshon
Michael C. Burgess,rep,Republican,2023-01-03,2025-01-03,TX,26,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772,Burgess
Ken Calvert,rep,Republican,2023-01-03,2025-01-03,CA,41,2205 Rayburn House Office Building Washington DC 20515-0541,202-225-1986,Calvert
André Carson,rep,Democrat,2023-01-03,2025-01-03,IN,7,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,Carson
John R. Carter,rep,Republican,2023-01-03,2025-01-03,TX,31,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,Carter
Kathy Castor,rep,Democrat,2023-01-03,2025-01-03,FL,14,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,Castor
Judy Chu,rep,Democrat,2023-01-03,2025-01-03,CA,28,2423 Rayburn House Office Building Washington DC 20515-0528,202-225-5464,Chu
Yvette D. Clarke,rep,Democrat,2023-01-03,2025-01-03,NY,9,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231,Clarke
Emanuel Cleaver,rep,Democrat,2023-01-03,2025-01-03,MO,5,2217 Rayburn House Office Building Washington DC 20515-2505,202-225-4535,Cleaver
James E. Clyburn,rep,Democrat,2023-01-03,2025-01-03,SC,6,274 Cannon House Office Building Washington DC 20515-4006,202-225-3315,Clyburn
Steve Cohen,rep,Democrat,2023-01-03,2025-01-03,TN,9,2268 Rayburn House Office Building Washington DC 20515-4209,202-225-3265,Cohen
Tom Cole,rep,Republican,2023-01-03,2025-01-03,OK,4,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165,Cole
Gerald E. Connolly,rep,Democrat,2023-01-03,2025-01-03,VA,11,2265 Rayburn House Office Building Washington DC 20515-4611,202-225-1492,Connolly
Jim Costa,rep,Democrat,2023-01-03,2025-01-03,CA,21,2081 Rayburn House Office Building Washington DC 20515-0521,202-225-3341,Costa
Joe Courtney,rep,Democrat,2023-01-03,2025-01-03,CT,2,2449 Rayburn House Office Building Washington DC 20515-0702,202-225-2076,Courtney
"Eric A. ""Rick"" Crawford",rep,Republican,2023-01-03,2025-01-03,AR,1,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076,Crawford
