,Bill Number,Representative,Party,State,Vote,link,Full Name,Phone Number
1963,H. R. 3334,Johnson (GA),Democratic,Georgia,Nay,https://clerk.house.gov/Members/J000288,"Henry C. ""Hank"" Johnson, Jr.", (202) 225-1605
1304,H. R. 3334,Fong,Republican,California,Aye,https://clerk.house.gov/Members/F000480,Vince Fong, (202) 225-2915
3534,H. R. 3334,Scott (VA),Democratic,Virginia,Aye,https://clerk.house.gov/Members/S000185,"Robert C. ""Bobby"" Scott", (202) 225-8351
653,H. R. 3334,Cherfilus-McCormick,Democratic,Florida,Nay,https://clerk.house.gov/Members/C001127,Sheila Cherfilus-McCormick, (202) 225-1313
654,H. R. 3334,Cherfilus-McCormick,Democratic,Florida,Aye,https://clerk.house.gov/Members/C001127,Sheila Cherfilus-McCormick, (202) 225-1313
3533,H. R. 3334,Scott (VA),Democratic,Virginia,Nay,https://clerk.house.gov/Members/S000185,"Robert C. ""Bobby"" Scott", (202) 225-8351
1303,H. R. 3334,Fong,Republican,California,Yea,https://clerk.house.gov/Members/F000480,Vince Fong, (202) 225-2915
2754,H. R. 3334,Miller (WV),Republican,West Virginia,Aye,https://clerk.house.gov/Members/M001205,Carol D. Miller, (202) 225-3452
2763,H. R. 3334,Miller-Meeks,Republican,Iowa,Yea,https://clerk.house.gov/Members/M001215,Mariannette Miller-Meeks, (202) 225-6576
3524,H. R. 3334,Schweikert,Republican,Arizona,Aye,https://clerk.house.gov/Members/S001183,David Schweikert, (202) 225-2190
3523,H. R. 3334,Schweikert,Republican,Arizona,Yea,https://clerk.house.gov/Members/S001183,David Schweikert, (202) 225-2190
663,H. R. 3334,Chu,Democratic,California,Nay,https://clerk.house.gov/Members/C001080,Judy Chu, (202) 225-5464
664,H. R. 3334,Chu,Democratic,California,Aye,https://clerk.house.gov/Members/C001080,Judy Chu, (202) 225-5464
2764,H. R. 3334,Miller-Meeks,Republican,Iowa,Aye,https://clerk.house.gov/Members/M001215,Mariannette Miller-Meeks, (202) 225-6576
1294,H. R. 3334,Flood,Republican,Nebraska,Aye,https://clerk.house.gov/Members/F000474,Mike Flood, (202) 225-4806
1293,H. R. 3334,Flood,Republican,Nebraska,Yea,https://clerk.house.gov/Members/F000474,Mike Flood, (202) 225-4806
