,Bill Number,First Name,Last Name,Party,State,Vote Cast
0,H.R. 9747,Tammy,Baldwin,D,WI,Yea
1,H.R. 9747,John,Barrasso,R,WY,Yea
2,H.R. 9747,Michael,Bennet,D,CO,Yea
3,H.R. 9747,Marsha,Blackburn,R,TN,Nay
4,H.R. 9747,Richard,Blumenthal,D,CT,Yea
5,H.R. 9747,Cory,Booker,D,NJ,Yea
6,H.R. 9747,John,Boozman,R,AR,Yea
7,H.R. 9747,Mike,Braun,R,IN,Nay
8,H.R. 9747,Katie,Britt,R,AL,Nay
9,H.R. 9747,Sherrod ,Brown,D,OH,Yea
10,H.R. 9747,Ted,Budd,R,NC,Nay
11,H.R. 9747,Laphonza,Butler,D,CA,Yea
12,H.R. 9747,Maria,Cantwell,D,WA,Yea
13,H.R. 9747,Shelley,Capito,R,WV,Yea
14,H.R. 9747,Ben,Cardin,D,MD,Yea
15,H.R. 9747,Thomas,Carper,D,DE,Yea
16,H.R. 9747,Bob,Casey,D,PA,Yea
17,H.R. 9747,Bill,Cassidy,R,LA,Yea
18,H.R. 9747,Susan,Collins,R,ME,Yea
19,H.R. 9747,Christopher,Coons,D,DE,Not Voting
20,H.R. 9747,John,Cornyn,R,TX,Yea
21,H.R. 9747,Catherine,Cortez Masto,D,NV,Yea
22,H.R. 9747,Tom,Cotton,R,AR,Not Voting
23,H.R. 9747,Kevin,Cramer,R,ND,Yea
24,H.R. 9747,Mike,Crapo,R,ID,Nay
25,H.R. 9747,Ted,Cruz,R,TX,Yea
26,H.R. 9747,Steve,Daines,R,MT,Yea
27,H.R. 9747,Tammy,Duckworth,D,IL,Yea
28,H.R. 9747,Richard,Durbin,D,IL,Yea
29,H.R. 9747,Joni,Ernst,R,IA,Yea
30,H.R. 9747,John,Fetterman,D,PA,Yea
31,H.R. 9747,Deb,Fischer,R,NE,Nay
32,H.R. 9747,Kirsten,Gillibrand,D,NY,Yea
33,H.R. 9747,Lindsey,Graham,R,SC,Yea
34,H.R. 9747,Chuck,Grassley,R,IA,Yea
35,H.R. 9747,Bill,Hagerty,R,TN,Nay
36,H.R. 9747,Maggie,Hassan,D,NH,Yea
37,H.R. 9747,Josh,Hawley,R,MO,Nay
