Unnamed: 0,Bill Number,First Name,Last Name,Party,State,Vote Cast,Name
0,H.R. 9747,Tammy,Baldwin,D,WI,Yea,Tammy Baldwin
1,H.R. 9747,John,Barrasso,R,WY,Yea,John Barrasso
2,H.R. 9747,Michael,Bennet,D,CO,Yea,Michael Bennet
3,H.R. 9747,Marsha,Blackburn,R,TN,Nay,Marsha Blackburn
4,H.R. 9747,Richard,Blumenthal,D,CT,Yea,Richard Blumenthal
5,H.R. 9747,Cory,Booker,D,NJ,Yea,Cory Booker
6,H.R. 9747,John,Boozman,R,AR,Yea,John Boozman
7,H.R. 9747,Mike,Braun,R,IN,Nay,Mike Braun
8,H.R. 9747,Katie,Britt,R,AL,Nay,Katie Britt
9,H.R. 9747,Sherrod ,Brown,D,OH,Yea,Sherrod  Brown
10,H.R. 9747,Ted,Budd,R,NC,Nay,Ted Budd
11,H.R. 9747,Laphonza,Butler,D,CA,Yea,Laphonza Butler
12,H.R. 9747,Maria,Cantwell,D,WA,Yea,Maria Cantwell
13,H.R. 9747,Shelley,Capito,R,WV,Yea,Shelley Capito
14,H.R. 9747,Ben,Cardin,D,MD,Yea,Ben Cardin
15,H.R. 9747,Thomas,Carper,D,DE,Yea,Thomas Carper
16,H.R. 9747,Bob,Casey,D,PA,Yea,Bob Casey
17,H.R. 9747,Bill,Cassidy,R,LA,Yea,Bill Cassidy
18,H.R. 9747,Susan,Collins,R,ME,Yea,Susan Collins
19,H.R. 9747,Christopher,Coons,D,DE,Not Voting,Christopher Coons
20,H.R. 9747,John,Cornyn,R,TX,Yea,John Cornyn
21,H.R. 9747,Catherine,Cortez Masto,D,NV,Yea,Catherine Cortez Masto
22,H.R. 9747,Tom,Cotton,R,AR,Not Voting,Tom Cotton
23,H.R. 9747,Kevin,Cramer,R,ND,Yea,Kevin Cramer
24,H.R. 9747,Mike,Crapo,R,ID,Nay,Mike Crapo
25,H.R. 9747,Ted,Cruz,R,TX,Yea,Ted Cruz
26,H.R. 9747,Steve,Daines,R,MT,Yea,Steve Daines
27,H.R. 9747,Tammy,Duckworth,D,IL,Yea,Tammy Duckworth
28,H.R. 9747,Richard,Durbin,D,IL,Yea,Richard Durbin
29,H.R. 9747,Joni,Ernst,R,IA,Yea,Joni Ernst
30,H.R. 9747,John,Fetterman,D,PA,Yea,John Fetterman
31,H.R. 9747,Deb,Fischer,R,NE,Nay,Deb Fischer
32,H.R. 9747,Kirsten,Gillibrand,D,NY,Yea,Kirsten Gillibrand
33,H.R. 9747,Lindsey,Graham,R,SC,Yea,Lindsey Graham
34,H.R. 9747,Chuck,Grassley,R,IA,Yea,Chuck Grassley
35,H.R. 9747,Bill,Hagerty,R,TN,Nay,Bill Hagerty
36,H.R. 9747,Maggie,Hassan,D,NH,Yea,Maggie Hassan
37,H.R. 9747,Josh,Hawley,R,MO,Nay,Josh Hawley
38,H.R. 9747,Martin,Heinrich,D,NM,Yea,Martin Heinrich
39,H.R. 9747,George,Helmy,D,NJ,Yea,George Helmy
40,H.R. 9747,John,Hickenlooper,D,CO,Yea,John Hickenlooper
41,H.R. 9747,Mazie,Hirono,D,HI,Yea,Mazie Hirono
42,H.R. 9747,John,Hoeven,R,ND,Yea,John Hoeven
43,H.R. 9747,Cindy,Hyde-Smith,R,MS,Yea,Cindy Hyde-Smith
44,H.R. 9747,Ron,Johnson,R,WI,Nay,Ron Johnson
45,H.R. 9747,Timothy,Kaine,D,VA,Yea,Timothy Kaine
46,H.R. 9747,Mark,Kelly,D,AZ,Yea,Mark Kelly
47,H.R. 9747,John,Kennedy,R,LA,Yea,John Kennedy
48,H.R. 9747,Angus,King,I,ME,Yea,Angus King
49,H.R. 9747,Amy,Klobuchar,D,MN,Yea,Amy Klobuchar
50,H.R. 9747,James,Lankford,R,OK,Yea,James Lankford
51,H.R. 9747,Mike,Lee,R,UT,Nay,Mike Lee
52,H.R. 9747,Ben,Lujan,D,NM,Yea,Ben Lujan
53,H.R. 9747,Cynthia,Lummis,R,WY,Yea,Cynthia Lummis
54,H.R. 9747,Joseph,Manchin,I,WV,Yea,Joseph Manchin
55,H.R. 9747,Edward,Markey,D,MA,Yea,Edward Markey
56,H.R. 9747,Roger,Marshall,R,KS,Nay,Roger Marshall
57,H.R. 9747,Mitch,McConnell,R,KY,Yea,Mitch McConnell
58,H.R. 9747,Jeff,Merkley,D,OR,Yea,Jeff Merkley
59,H.R. 9747,Jerry,Moran,R,KS,Yea,Jerry Moran
60,H.R. 9747,Markwayne,Mullin,R,OK,Nay,Markwayne Mullin
61,H.R. 9747,Lisa,Murkowski,R,AK,Yea,Lisa Murkowski
62,H.R. 9747,Christopher,Murphy,D,CT,Yea,Christopher Murphy
63,H.R. 9747,Patty,Murray,D,WA,Yea,Patty Murray
64,H.R. 9747,Jon,Ossoff,D,GA,Yea,Jon Ossoff
65,H.R. 9747,Alex,Padilla,D,CA,Yea,Alex Padilla
66,H.R. 9747,Rand,Paul,R,KY,Nay,Rand Paul
67,H.R. 9747,Gary,Peters,D,MI,Yea,Gary Peters
68,H.R. 9747,John,Reed,D,RI,Yea,John Reed
69,H.R. 9747,Pete,Ricketts,R,NE,Nay,Pete Ricketts
70,H.R. 9747,James ,Risch,R,ID,Nay,James  Risch
71,H.R. 9747,Mitt,Romney,R,UT,Yea,Mitt Romney
72,H.R. 9747,Jacklyn,Rosen,D,NV,Yea,Jacklyn Rosen
73,H.R. 9747,Mike,Rounds,R,SD,Yea,Mike Rounds
74,H.R. 9747,Marco,Rubio,R,FL,Yea,Marco Rubio
75,H.R. 9747,Bernard,Sanders,I,VT,Yea,Bernard Sanders
