,name,state,party
0,Sherrod Brown,OH,Democrat
1,Maria Cantwell,WA,Democrat
2,Benjamin L. Cardin,MD,Democrat
3,Thomas R. Carper,DE,Democrat
4,"Robert P. Casey, Jr.",PA,Democrat
5,Amy Klobuchar,MN,Democrat
6,Bernard Sanders,VT,Independent
7,Debbie Stabenow,MI,Democrat
8,Jon Tester,MT,Democrat
9,Sheldon Whitehouse,RI,Democrat
10,John Barrasso,WY,Republican
11,Roger F. Wicker,MS,Republican
12,Susan M. Collins,ME,Republican
13,John Cornyn,TX,Republican
14,Richard J. Durbin,IL,Democrat
15,Lindsey Graham,SC,Republican
16,Mitch McConnell,KY,Republican
17,Jeff Merkley,OR,Democrat
18,Jack Reed,RI,Democrat
19,James E. Risch,ID,Republican
20,Jeanne Shaheen,NH,Democrat
21,Mark R. Warner,VA,Democrat
22,Kirsten E. Gillibrand,NY,Democrat
23,Christopher A. Coons,DE,Democrat
24,"Joe Manchin, III",WV,Democrat
25,Tammy Baldwin,WI,Democrat
26,Michael F. Bennet,CO,Democrat
27,Marsha Blackburn,TN,Republican
28,Richard Blumenthal,CT,Democrat
29,John Boozman,AR,Republican
30,Shelley Moore Capito,WV,Republican
31,Bill Cassidy,LA,Republican
32,Mike Crapo,ID,Republican
33,Chuck Grassley,IA,Republican
34,Martin Heinrich,NM,Democrat
35,Mazie K. Hirono,HI,Democrat
36,John Hoeven,ND,Republican
37,Ron Johnson,WI,Republican
38,James Lankford,OK,Republican
39,Mike Lee,UT,Republican
40,Ben Ray Luján,NM,Democrat
41,Edward J. Markey,MA,Democrat
42,Jerry Moran,KS,Republican
43,Lisa Murkowski,AK,Republican
44,Christopher Murphy,CT,Democrat
45,Patty Murray,WA,Democrat
46,Rand Paul,KY,Republican
47,Gary C. Peters,MI,Democrat
48,Marco Rubio,FL,Republican
49,Charles E. Schumer,NY,Democrat
50,Tim Scott,SC,Republican
51,John Thune,SD,Republican
52,Chris Van Hollen,MD,Democrat
53,Peter Welch,VT,Democrat
54,Ron Wyden,OR,Democrat
55,Todd Young,IN,Republican
56,Brian Schatz,HI,Democrat
57,Tom Cotton,AR,Republican
58,Kyrsten Sinema,AZ,Independent
59,Tammy Duckworth,IL,Democrat
60,Elizabeth Warren,MA,Democrat
61,"Angus S. King, Jr.",ME,Independent
62,Steve Daines,MT,Republican
63,Kevin Cramer,ND,Republican
64,Deb Fischer,NE,Republican
65,Markwayne Mullin,OK,Republican
66,Ted Cruz,TX,Republican
67,Tim Kaine,VA,Democrat
68,Cory A. Booker,NJ,Democrat
69,Dan Sullivan,AK,Republican
70,Joni Ernst,IA,Republican
71,Thom Tillis,NC,Republican
72,Mike Rounds,SD,Republican
73,John Kennedy,LA,Republican
74,Margaret Wood Hassan,NH,Democrat
75,Catherine Cortez Masto,NV,Democrat
76,Roger Marshall,KS,Republican
77,Ted Budd,NC,Republican
78,Jacky Rosen,NV,Democrat
79,Tina Smith,MN,Democrat
80,Cindy Hyde-Smith,MS,Republican
81,Rick Scott,FL,Republican
82,Mike Braun,IN,Republican
83,Josh Hawley,MO,Republican
84,Mitt Romney,UT,Republican
85,Mark Kelly,AZ,Democrat
86,Cynthia M. Lummis,WY,Republican
87,Tommy Tuberville,AL,Republican
88,John W. Hickenlooper,CO,Democrat
89,Bill Hagerty,TN,Republican
90,Alex Padilla,CA,Democrat
91,Jon Ossoff,GA,Democrat
92,Raphael G. Warnock,GA,Democrat
93,Katie Boyd Britt,AL,Republican
94,Eric Schmitt,MO,Republican
95,J.D. Vance,OH,Republican
96,John Fetterman,PA,Democrat
97,Pete Ricketts,NE,Republican
98,Laphonza R. Butler,CA,Democrat
99,George S. Helmy,NJ,Democrat
