,Bill Number,Representative,Party,State,Vote
0,H. Res. 1469,Adams,Democratic,North Carolina,Nay
1,H. Res. 1469,Aderholt,Republican,Alabama,Yea
2,H. Res. 1469,Aguilar,Democratic,California,Nay
3,H. Res. 1469,Alford,Republican,Missouri,Yea
4,H. Res. 1469,Allen,Republican,Georgia,Yea
5,H. Res. 1469,Allred,Democratic,Texas,Nay
6,H. Res. 1469,Amo,Democratic,Rhode Island,Nay
7,H. Res. 1469,Amodei,Republican,Nevada,Yea
8,H. Res. 1469,Armstrong,Republican,North Dakota,Yea
9,H. Res. 1469,Arrington,Republican,Texas,Yea
10,H. Res. 1469,Auchincloss,Democratic,Massachusetts,Nay
11,H. Res. 1469,Babin,Republican,Texas,Yea
12,H. Res. 1469,Bacon,Republican,Nebraska,Yea
13,H. Res. 1469,Baird,Republican,Indiana,Yea
14,H. Res. 1469,Balderson,Republican,Ohio,Yea
15,H. Res. 1469,Balint,Democratic,Vermont,Nay
16,H. Res. 1469,Banks,Republican,Indiana,Yea
17,H. Res. 1469,Barr,Republican,Kentucky,Yea
18,H. Res. 1469,Barragán,Democratic,California,Nay
19,H. Res. 1469,Bean (FL),Republican,Florida,Yea
20,H. Res. 1469,Beatty,Democratic,Ohio,Nay
21,H. Res. 1469,Bentz,Republican,Oregon,Yea
22,H. Res. 1469,Bera,Democratic,California,Nay
23,H. Res. 1469,Bergman,Republican,Michigan,Yea
24,H. Res. 1469,Beyer,Democratic,Virginia,Nay
25,H. Res. 1469,Bice,Republican,Oklahoma,Yea
26,H. Res. 1469,Biggs,Republican,Arizona,Yea
27,H. Res. 1469,Bilirakis,Republican,Florida,Yea
28,H. Res. 1469,Bishop (GA),Democratic,Georgia,Nay
29,H. Res. 1469,Bishop (NC),Republican,North Carolina,Not Voting
30,H. Res. 1469,Blumenauer,Democratic,Oregon,Nay
31,H. Res. 1469,Blunt Rochester,Democratic,Delaware,Nay
32,H. Res. 1469,Boebert,Republican,Colorado,Yea
33,H. Res. 1469,Bonamici,Democratic,Oregon,Nay
34,H. Res. 1469,Bost,Republican,Illinois,Yea
35,H. Res. 1469,Bowman,Democratic,New York,Not Voting
36,H. Res. 1469,Boyle (PA),Democratic,Pennsylvania,Nay
37,H. Res. 1469,Brecheen,Republican,Oklahoma,Yea
38,H. Res. 1469,Brown,Democratic,Ohio,Nay
39,H. Res. 1469,Brownley,Democratic,California,Nay
40,H. Res. 1469,Buchanan,Republican,Florida,Yea
41,H. Res. 1469,Bucshon,Republican,Indiana,Yea
42,H. Res. 1469,Budzinski,Democratic,Illinois,Nay
43,H. Res. 1469,Burchett,Republican,Tennessee,Yea
44,H. Res. 1469,Burgess,Republican,Texas,Yea
45,H. Res. 1469,Burlison,Republican,Missouri,Yea
46,H. Res. 1469,Bush,Democratic,Missouri,Nay
47,H. Res. 1469,Calvert,Republican,California,Yea
48,H. Res. 1469,Cammack,Republican,Florida,Yea
49,H. Res. 1469,Caraveo,Democratic,Colorado,Yea
50,H. Res. 1469,Carbajal,Democratic,California,Nay
51,H. Res. 1469,Cárdenas,Democratic,California,Nay
52,H. Res. 1469,Carey,Republican,Ohio,Yea
53,H. Res. 1469,Carl,Republican,Alabama,Yea
54,H. Res. 1469,Carson,Democratic,Indiana,Nay
55,H. Res. 1469,Carter (GA),Republican,Georgia,Yea
56,H. Res. 1469,Carter (LA),Democratic,Louisiana,Nay
57,H. Res. 1469,Carter (TX),Republican,Texas,Yea
58,H. Res. 1469,Cartwright,Democratic,Pennsylvania,Nay
59,H. Res. 1469,Casar,Democratic,Texas,Nay
60,H. Res. 1469,Case,Democratic,Hawaii,Nay
61,H. Res. 1469,Casten,Democratic,Illinois,Nay
62,H. Res. 1469,Castor (FL),Democratic,Florida,Nay
63,H. Res. 1469,Castro (TX),Democratic,Texas,Nay
64,H. Res. 1469,Chavez-DeRemer,Republican,Oregon,Yea
65,H. Res. 1469,Cherfilus-McCormick,Democratic,Florida,Nay
66,H. Res. 1469,Chu,Democratic,California,Nay
67,H. Res. 1469,Ciscomani,Republican,Arizona,Yea
68,H. Res. 1469,Clark (MA),Democratic,Massachusetts,Nay
69,H. Res. 1469,Clarke (NY),Democratic,New York,Nay
70,H. Res. 1469,Cleaver,Democratic,Missouri,Nay
71,H. Res. 1469,Cline,Republican,Virginia,Yea
72,H. Res. 1469,Cloud,Republican,Texas,Yea
73,H. Res. 1469,Clyburn,Democratic,South Carolina,Nay
74,H. Res. 1469,Clyde,Republican,Georgia,Yea
75,H. Res. 1469,Cohen,Democratic,Tennessee,Nay
76,H. Res. 1469,Cole,Republican,Oklahoma,Yea
77,H. Res. 1469,Collins,Republican,Georgia,Yea
78,H. Res. 1469,Comer,Republican,Kentucky,Yea
79,H. Res. 1469,Connolly,Democratic,Virginia,Nay
80,H. Res. 1469,Correa,Democratic,California,Nay
81,H. Res. 1469,Costa,Democratic,California,Nay
82,H. Res. 1469,Courtney,Democratic,Connecticut,Nay
83,H. Res. 1469,Craig,Democratic,Minnesota,Nay
84,H. Res. 1469,Crane,Republican,Arizona,Yea
85,H. Res. 1469,Crawford,Republican,Arkansas,Yea
86,H. Res. 1469,Crenshaw,Republican,Texas,Yea
87,H. Res. 1469,Crockett,Democratic,Texas,Nay
88,H. Res. 1469,Crow,Democratic,Colorado,Nay
89,H. Res. 1469,Cuellar,Democratic,Texas,Yea
90,H. Res. 1469,Curtis,Republican,Utah,Yea
91,H. Res. 1469,D'Esposito,Republican,New York,Yea
92,H. Res. 1469,Davids (KS),Democratic,Kansas,Nay
93,H. Res. 1469,Davidson,Republican,Ohio,Yea
94,H. Res. 1469,Davis (IL),Democratic,Illinois,Nay
